regio1,serviceCharge,heatingType,telekomTvOffer,telekomHybridUploadSpeed,newlyConst,balcony,picturecount,pricetrend,telekomUploadSpeed,totalRent,yearConstructed,scoutId,noParkSpaces,firingTypes,hasKitchen,geo_bln,cellar,yearConstructedRange,baseRent,houseNumber,livingSpace,geo_krs,condition,interiorQual,petsAllowed,street,streetPlain,lift,baseRentRange,typeOfFlat,geo_plz,noRooms,thermalChar,floor,numberOfFloors,noRoomsRange,garden,livingSpaceRange,regio2,regio3,description,facilities,heatingCosts,energyEfficiencyClass,lastRefurbish,electricityBasePrice,electricityKwhPrice,date,americanArea
Nordrhein_Westfalen,235.0,central_heating,,,False,True,8,5.13,,,1978.0,110401882,,oil,False,Nordrhein_Westfalen,True,3.0,695.0,,100.0,Münster,well_kept,,no,no_information,,False,5,apartment,48157,2.0,162.0,,,2,False,4,Münster,Handorf,"Ruhig und hell! Wohnen auf 100 m²: 2-Raum-Wohnung im I. Obergeschoss eines soliden 3-Familienhauses in Münster-Handorf! Großzügiger Wohnraum mit bodentiefer Fensterfront zum Süd-Balkon, Schlafzimmer, Küche, Diele, Bad, Gäste-WC, Abstellraum. Fenster mit Isolierverglasung, Rolläden, Öl-Zentralheizung, separate Warmwassergeräte (Abrechnung direkt mit dem Versorger), Bad mit Wanne, Dusche und Fenster, Balkon mit 2 Markisen, Sat-TV, Waschmaschinenanschluss im Badezimmer. Auf Wunsch des Vermieters soll die Wohnung an eine berufstätige Einzelperson bzw. ein berufstätiges Ehepaar/Paar vermietet werden. Sorry, keine WG möglich! Die Mietzeit beträgt mindestens 2 Jahre (gerne auch länger).",,,F,,,,May19,1076.3899999999999
Nordrhein_Westfalen,180.0,heat_pump,,,True,True,18,4.98,,,2018.0,113246709,1.0,electricity,False,Nordrhein_Westfalen,True,9.0,1010.0,21,87.56,Münster,first_time_use,sophisticated,,Hiltruper Stra&szlig;e,Hiltruper_Straße,True,7,apartment,48167,3.0,14.0,1.0,1.0,3,True,4,Münster,Wolbeck,"Die angebotene Wohnung im 1. Obergeschoss ist eine von sechs Wohnungen, in einem, derzeit im Bau befindlichen Mehrfamilienwohnhaus im Zentrum von Münster-Wolbeck. Das Gebäude an sich, und insbesondere diese Wohnung, lassen auf Grund der perfekten Lage und der gehobenen Ausstattung keine Wünsche offen. Durch den eingebauten Personenaufzug bleiben Ihnen, zum Beispiel nach getätigten Großeinkäufen in den nahe gelegenen Supermärkten / Discountern, mühsame Treppengänge erspart. Die Wohnung hat eine Größe von 87,56 m² und besticht durch ihre durchdachte Aufteilung und durch die hellen, großzügigen Räumlichkeiten. Von der zentral gelegenen Diele aus sind alle Räume dieser Wohnung direkt zugänglich: Ein großzügig angelegtes Schlafzimmer, das Gäste- / Arbeitszimmer, das Tageslichtbad mit Dusche und WC, ein Abstellraum und das große, helle Wohn- / Esszimmer mit angeschlossenem, offenen Küchenbereich. Vom Wohnzimmer aus haben Sie auch Zugang zum süd-östlich ausgerichteten, großen Balkon. Alle, zum Teil bodentiefen Kunststoff-Fenster sind 3-fach isolierverglast und mit Jalousien ausgestattet. Ausgelegt sind alle Böden mit hochwertigen Steinzeug-Fliesen und Parkett in den Schlafräumen. Die Wohnung wird bezugsfertig übergeben. Zur Wohnung gehören zudem noch ein eigener, großer Kellerraum und ein PKW-Außenstellplatz. Mit den übrigen Parteien des Hauses gemeinsam genutzt werden kann der ebenfalls im Keller befindliche Hauswirtschaftsraum (Wasch- / Trockenraum), ein kleiner, gemeinschaftlicher Gartenbereich und die allgemeine Fahrrad-Garage. Die Zufahrt, alle Wege und Stellplätze sind gepflastert. Beheizt wird das Gebäude mittels Erdwärme. Alle Wohnungen sind mit einer Fußbodenheizung ausgestattet. Da das Mehrfamilienhaus dem KfW 55–Standard nach der ENEV 2016 entspricht, kann mit niedrigeren Heizkosten kalkuliert werden. Die Obergeschoss-Wohnung ist ab dem 01.12.2019 bezugsfertig. Suchkriterien bitte beachten: - berufstätig oder im Rentenalter - max. 1 Kind - im Idealfall ein Ehepaar / Alleinstehend - möglichst keine Tiere",Bei diesem Mehrfamilienhaus / dieser Wohnung fehlt es einfach an nichts. Technisch auf dem allerhöchsten Stand warten auf Sie unter anderem: # KFW-55 Haus nach ENEV 2016 # Personenaufzug # Erdwärmeheizung # Fußbodenheizung in allen Räumen # großer Balkon # zur Wohnung gehörender PKW-Stellplatz # gemeinschaftliche Fahrrad-Garage # großer Kellerraum # gemeinschaftlicher HWR (= Wasch- / Trockenraum) im Keller # Kunststoff-Fenster mit 3-fach Isolierverglasung # elektrische Rollläden in der kompletten Wohnung # hochwertige Fliesenböden # exklusive Holzböden # Tageslicht-Bad mit Dusche und WC # traumhafte Zimmeraufteilung # komplett bezugsfertig - ab 01.12.2019,80.0,A_PLUS,,,,Oct19,942.487084
Nordrhein_Westfalen,140.0,gas_heating,ONE_YEAR_FREE,,False,True,6,6.67,40.0,,1974.0,106998808,,gas,False,Nordrhein_Westfalen,True,3.0,669.0,65,76.75,Münster,fully_renovated,normal,negotiable,Br&uuml;ningheide,Brüningheide,True,5,apartment,48159,3.0,201.0,1.0,11.0,3,False,3,Münster,Kinderhaus_West,Die 3 Zimmer Wohnung befindet sich in der ersten Etage eines gepflegten Mehrfamilienhauses. Zwei  Aufzüge gibt es hier in dem Haus. Zu jeder Wohnung gehört auch ein Kellerraum.,Die Wohnung ist mit neuem Laminat ausgestattet. Sie wird in einem renovierten Zustand übergeben. Das Bad wurde komplett neu gefliest und die sanitären Anlagen erneuert. Die Wohnung ist mit einem Balkon ausgestattet.,90.0,,,90.76,0.1915,Sep18,826.129325
Nordrhein_Westfalen,180.0,self_contained_central_heating,ONE_YEAR_FREE,,False,False,1,6.93,10.0,,1870.0,107382376,,gas,False,Nordrhein_Westfalen,True,1.0,731.5,48,77.0,Münster,,normal,no,Weseler Stra&szlig;e,Weseler_Straße,False,5,apartment,48151,2.0,,1.0,,2,False,3,Münster,Pluggendorf,"Dieses mit langer und wechselhafter Geschichte einhergehende Wohn- und Geschäftshaus mit 8 Wohneinheiten und einer Gewerbeeinheit mit Keller befindet sich in attraktiver Citylage. Wohnflächenaufstellung dieser Wohnung im 1. OG: Zimmer 1 hat 20,7 m² Zimmer 2 hat 25,75 m² Küche: 16,5 m² Flur: 9 m² Bad: 4,85 m² Aufgrund ihrer Größe sind die Zimmer auch für Pärchen geeignet!","Das immer wieder liebevoll sanierte Haus (im zweiten Weltkrieg wurde es zu 90 % zerstört) ist geprägt durch 8 Wohnungen mit hohen Decken und eine Gewerbeeinheit, die sich über das komplette EG erstreckt.",,,2013.0,90.76,0.1915,Sep18,828.8203
Nordrhein_Westfalen,170.0,,ONE_YEAR_FREE,,True,True,19,6.81,40.0,,2018.0,107298660,1.0,,False,Nordrhein_Westfalen,False,9.0,990.0,,85.0,Münster,mint_condition,sophisticated,,no_information,,False,6,apartment,48155,3.0,,1.0,,3,False,4,Münster,Gremmendorf_West,"Sie sind interessiert an ruhigem Wohnen mit Balkon in Südlage? Dann ist dieses Objekt genau das Richtige für Sie! Diese hochwertigen Wohnungen befinden sich in ruhiger Sackgassenlage im Süden von Münster und mit direktem Blick ins Grüne. Hier können Sie entspannt auf dem Balkon verweilen und die Ruhe genießen. An schönen Sommertagen begleitet Sie die Sonne von den Morgen- bis in die Abendstunden. Durch das gemeinsame Treppenhaus gelangen Sie in die Wohnung, welche Ihnen ein helles, geräumiges Wohn-/ Esszimmer mit integrierter Küchenzeile und angrenzendem Balkon bietet. Außerdem finden Sie hier ein Schlafzimmer, ein Arbeitszimmer und ein modernes Badezimmer mit bodengleicher Dusche und Waschmaschinenanschluss. Des Weiteren steht Ihnen ein eigener Kellerraum zur Verfügung, welcher ebenfalls über einen Waschmaschinenanschluss verfügt. Hierdurch sind Sie flexibel, was Ihre Wäsche angeht. Ein Stellplatz (kostenpflichtig) ist ebenfalls vorhanden. Als technisches Highlight wurde eine Haussteuerung integriert, wodurch sich die Rollläden, die Heizung, Lampen und die Türsprechanlage mit Video bequem von unterwegs aus steuern lassen. Gerne lassen wir Ihnen vorab weitere Unterlagen zukommen, informieren Sie umfassend telefonisch über zusätzliche Details sowie konkrete Fragen und vereinbaren selbstverständlich zeitnah einen persönlichen Besichtigungstermin mit Ihnen!",• verfügbar ab dem 01.12.2018 • Küche kann übernommen werden • großer Balkon in Südausrichtung • Blick ins Grüne • helle Räume • Fußbodenheizung • große bodentiefe Kunststofffenster • elektrische Rolläden mit Fernsteuerrung • Vinylboden in Eicheoptik • graue Fliesen im Bad • bodengleiche Dusche • separater Kellerraum • Waschmaschinenanschluss im Keller oder Bad • kontrollierte Raumlüftung • Wärmepumpe • Haussteuerung über App möglich • Sackgassenlage,,,,90.76,0.1915,Sep18,914.9314999999999
Nordrhein_Westfalen,160.0,,ONE_YEAR_FREE,,False,False,28,5.76,40.0,,1968.0,111158701,1.0,oil,False,Nordrhein_Westfalen,False,2.0,660.0,,75.0,Münster,,,,no_information,,False,5,,48161,2.0,192.7,2.0,,2,False,3,Münster,Gievenbeck,"Helle großzügige Wohnung im 2. OG mit Balkon, Kellerraum und PKW-Stellplatz in einem gepflegen Sechsparteienhaus in ruhiger Wohnlage. Baujahr 1968. Die Wohnung hat eine gute Ausstattung und wird einzugsbereit übergeben. Ausstattung: Ölzentralheizung, Kunststofffenster, Isoglas, elekt. Rollläden, weiße Türen, Türsprechanlage, Kabelfernsehen, Einbauküche, Parkett-/Laminat-/Keramikböden, uvm. Auflage: max. 2 berufstätige Personen ab 24 Jahren, keine WG, keine Tierhaltung.",,80.0,F,,,,May19,807.2925
Nordrhein_Westfalen,,central_heating,ONE_YEAR_FREE,,False,True,12,5.41,40.0,,2005.0,105927383,,oil,False,Nordrhein_Westfalen,False,6.0,1100.0,,134.0,Münster,well_kept,sophisticated,,no_information,,False,7,apartment,48161,4.0,111.16,1.0,2.0,4,False,6,Münster,Nienberge,Eine Mietwohnung in einem großen Zweifamilienhaus. Massiv gebaut. Eigener Eingang.,Öl-Zentralheizng. Helle Fliesen im Bad. Anschluss für Waschen und Trockner. Eine Dachterrasse mit Blick in grüne Landschaft. Neben dem Haus ist Platz für Fahrräder.,,D,,90.76,0.1915,Sep18,1442.3626
Nordrhein_Westfalen,100.0,electric_heating,ONE_YEAR_FREE,,False,True,12,4.73,40.0,,1968.0,115198859,,electricity,True,Nordrhein_Westfalen,True,2.0,990.0,,120.0,Münster,well_kept,sophisticated,no,no_information,,False,6,maisonette,48165,3.0,,1.0,,3,False,5,Münster,Hiltrup_Mitte,"Eine exklusive Maisonette-Wohnung im gefragten Musikerviertel muss kein Traum bleiben! In diesem ruhigen Zweifamilienhaus werden Sie endlich fündig. Die insgesamt ca. 120 m² Wohnfläche verteilt sich auf zwei Ebenen. Von dem großzügigen Eingangsbereich aus erreichen Sie die Küche, das Gäste WC sowie das große und lichtdurchflutete Wohnzimmer. Vor der gesamten Wohnzimmerfront befindet sich eine gartenseitig gelegene Loggia, die zum sommerlichen Entspannen einlädt. Die gesamte untere Ebene verfügt über einen hochwertigen sandfarbenen Steinboden, der die Wärme der Fußbodenheizung besonders gut speichert. Vom Wohnzimmer aus gelangen Sie über die Wendeltreppe in die obere Ebene der Wohnung. Das insgesamt helle und hochwertige Erscheinungsbild der Immobilie wird hier durch den neu verlegten Plankenboden weitergeführt. Dort befinden sich zwei großzügige Schlafräume sowie das separate Badezimmer und das separate WC. Beheizt wird über eine elektrische Fußbodenheizung. Bitte beachten Sie, dass die hierfür entstehenden Kosten direkt zwischen dem Mieter und Versorgerunternehmen abgerechnet werden und daher nicht in der Miete inkludiert sind. Als realistische Ablschlagszahlung ist mit 200 € monatlich zu rechnen. Das Angebot richtet sich an eine berufstätige Einzelperson oder ein berufstätiges Paar und ist damit auf maximal zwei Personen beschränkt. Bei Interesse bitten wir ausschließlich um telefonische Kontaktaufnahme. Schriftliche Anfragen können leider nicht berücksichtigt werden.","Im Jahr 2010 wurde die Wohnung vollständig saniert und ist ausschließlich mit hochwertigen Materialien und Einbauten ausgestattet. Die Böden im ersten Obergeschoss sind mit hochwertigen, sandfarbenen Steinboden ausgelegt. Im Dachgeschoss wurde Ende des Jahres 2017 ein neuer Plankenboden verlegt. Stellplätze für Waschmaschine und Trockner gibt es im eigenen Keller. Im Eingangsbereich befindet sich ferner ein Einbauschrank. Auch verfügt die Wohnung über eine vollständig eingerichtete Einbauküche. Diese kann aber auch auf Wunsch ausgebaut werden, sodass auch eine eigene Küche eingebracht werden kann. Der TV-Empfang erfolgt über Satellit.",,,2010.0,,,Feb20,1291.668
Nordrhein_Westfalen,120.0,,ONE_YEAR_FREE,,False,False,10,5.64,40.0,,1975.0,111394140,,gas,False,Nordrhein_Westfalen,False,3.0,652.0,,72.54,Münster,,,,no_information,,False,5,,48163,3.0,171.0,1.0,,3,False,3,Münster,Amelsbüren,"Helle Wohnung im 1 Obergeschoß mit sonnigem Balkon, Kellerraum in einem sehr gepflegten Haus mit 8 Wohnungen in zentraler und ruhiger Wohnlage. Bj.1974. Die Wohnung hat eine gute Ausstattung, Gaszentralheizung, Kunststofffenster, teilweise Rollläden, Markise, neue Vinylböden, Kabelfernsehen, Bad mit Dusche, allgemeiner Wasch-/Trockenkeller, Wände-/Decken neu weiß gestrichen, uvm. Auflage: EZP/Paar/Ehepaar ab 30 Jahren ohne Kind, keine Tierhaltung.",,100.0,F,,,,May19,780.813306
Nordrhein_Westfalen,350.0,district_heating,ONE_YEAR_FREE,,False,True,37,4.53,40.0,,2011.0,93600611,1.0,district_heating,False,Nordrhein_Westfalen,True,8.0,1680.0,115,138.0,Münster,mint_condition,luxury,no,Warendorfer Str.,Warendorfer_Str._,True,8,apartment,48145,4.0,42.0,4.0,5.0,4,False,6,Münster,Mauritz_Mitte,"Lichtdurchflutet und freundlich präsentiert sich diese hochwertig ausgestattete Wohnung im Mauritzviertel. Zur Wohnung gehören zwei Balkone! Die Wohnung wurde in moderner Architektur errichtet mit hochwertigem Parkett, großen Fensterflächen und modernem Bad mit Tageslicht. Ca. 137 qm Wohnfläche verteilt auf 2 Schlafzimmer, einem kleinen Büro, Wohnzimmer, große Essküche, Flur, Bad mit Wanne, Dusche und einem Gäste-WC. Ein geräumiger Kellerraum gehört ebenfalls zur Wohnung.","-hochwertiges Parkett in den Schlafräumen sowie im Wohnbereich. -bequemes Parken in der Tiefgarage -Gäste WC -Bad mit Doppelwaschbecken, Wanne und Dusche -Schlafzimmer -Schlafzimmer -Büro/Arbeitszimmer -Diele -HWR -Küche -Wohnzimmer -Kellerraum -Fahrradraum (im EG und in der Tiefgarage) -Loggia + kleiner Balkon -Aufzug -Fußbodenheizung in der gesamten Wohnung -Schallschutzfenster -kontrollierte Be-/und Entlüftung",,,,,,Feb20,1485.4181999999998
